id,name,gender,job,birthdate,idCard,address,salary,release_time,department_id
1,eva,女,开发工程师,1949-5-10,idcard1,add1,10001,,1
2,tyler,男,实施工程师,1949-5-11,idcard2,add2,10002,,2
3,huting,男,销售经理,1949-5-12,idcard3,add3,10003,,3
4,Sophia,女,hr,1949-5-13,idcard4,add4,10004,,4
5,name_test5,女,开发工程师,1949-5-14,idcard5,add5,10005,,1
6,name_test6,男,实施工程师,1949-5-15,idcard6,add6,10006,,2
7,name_test7,男,销售经理,1949-5-16,idcard7,add7,10007,,3
8,name_test8,女,hr,1949-5-17,idcard8,add8,10008,,4
9,name_test9,女,开发工程师,1949-5-18,idcard9,add9,10009,,1
10,name_test10,男,实施工程师,1949-5-19,idcard10,add10,10010,,2
11,name_test11,男,销售经理,1949-5-20,idcard11,add11,10011,,3
12,name_test12,女,hr,1949-5-21,idcard12,add12,10012,,4
13,name_test13,女,开发工程师,1949-5-22,idcard13,add13,10013,,1
14,name_test14,男,实施工程师,1949-5-23,idcard14,add14,10014,,2
15,name_test15,男,销售经理,1949-5-24,idcard15,add15,10015,,3
16,name_test16,女,hr,1949-5-25,idcard16,add16,10016,,4
17,name_test17,女,开发工程师,1949-5-26,idcard17,add17,10017,,1
18,name_test18,男,实施工程师,1949-5-27,idcard18,add18,10018,,2
19,name_test19,男,销售经理,1949-5-28,idcard19,add19,10019,,3
20,name_test20,女,hr,1949-5-29,idcard20,add20,10020,,4
21,name_test21,女,开发工程师,1949-5-30,idcard21,add21,10021,,1
22,name_test22,男,实施工程师,1949-5-31,idcard22,add22,10022,,2
23,name_test23,男,销售经理,1949-6-1,idcard23,add23,10023,,3
24,name_test24,女,hr,1949-6-2,idcard24,add24,10024,,4
25,name_test25,女,开发工程师,1949-6-3,idcard25,add25,10025,,1
26,name_test26,男,实施工程师,1949-6-4,idcard26,add26,10026,,2
27,name_test27,男,销售经理,1949-6-5,idcard27,add27,10027,,3
28,name_test28,女,hr,1949-6-6,idcard28,add28,10028,,4
